id;start_date;end_date;language
1;2021-03-23T07:42:13;2021-03-23T05:32:28;SPANISH
2;2021-03-22T12:32:24;2021-03-23T07:36:49;SPANISH
3;2021-03-23T03:27:43;2021-03-22T14:01:52;FRENCH
4;2021-03-22T18:45:14;2021-03-23T06:16:40;FRENCH
5;2021-03-23T04:15:32;2021-03-23T09:02:31;FRENCH
6;2021-03-22T22:07:53;2021-03-23T10:16:07;FRENCH
7;2021-03-22T23:53:13;2021-03-22T17:44:04;FRENCH
8;2021-03-22T22:49:26;2021-03-23T09:05:34;SPANISH
9;2021-03-22T21:30:35;2021-03-22T18:11:58;SPANISH
10;2021-03-23T05:42:39;2021-03-22T16:17:09;SPANISH
